,="Base 2",="Base 3",="Base 4",="Base 5",="Base 6",="Base 7",="Base 8",="Base 9",="Base 10",="Base 11",="Base 12",="Base 13",="Base 14",="Base 15",="Base 16",="Base 17",="Base 18",="Base 19",="Base 20",="Base 21",="Base 22",="Base 23",="Base 24",="Base 25",="Base 26",="Base 27",="Base 28",="Base 29",="Base 30",="Base 31",="Base 32",="Base 33",="Base 34",="Base 35",="Base 36",="Base 37",="Base 38",="Base 39",="Base 40",="Base 41",="Base 42",="Base 43",="Base 44",="Base 45",="Base 46",="Base 47",="Base 48",="Base 49",="Base 50",="Base 51",="Base 52",="Base 53",="Base 54",="Base 55",="Base 56",="Base 57",="Base 58",="Base 59",="Base 60",="Base 61",="Base 62",="Base 63",="Base 64"
="2^20",="100000000000000000000",="1222021101011",="10000000000",="232023301",="34250304",="11625034",="4000000",="1867334",="1048576",="6568A1",="426994",="2A9379",="1D41C4",="15AA51",="100000",="C974G",="9HE64",="80GC4",="6B18G",="584F4",="4AAAC",="3H446",="33KAG",="2H2I1",="27H3M",="1Q7A4",="1JLD4",="1DSNN",="18P2G",="14641",="10000",="T5T1",="QN2G",="OFYB",="MH34",="KPYX",="J464",="HQFM",="GFEG",="F8W1",="E6I4",="D84L",="CDRC",="BMaV",="AZP6",="A4W6",="9N5G",="8iZP",="8JLQ",="7k7G",="7Nem",="72FO",="6ZW4",="6GZ1",="5sKW",="5bg4",="5Leq",="56DS",="4pGG",="4bml",="4OmW",="4CC4",="4000"
="2^21",="1000000000000000000000",="10221112202022",="20000000000",="1014102102",="112541012",="23553101",="10000000",="3845668",="2097152",="1202692",="851768",="585725",="3C83A8",="2B65A2",="200000",="181E9F",="11HAC8",="G1E58",="D22HC",="AG998",="8KKL2",="7B88C",="67GL8",="595B2",="4F87I",="3PEK8",="3BEQ8",="2RSIH",="2HK52",="28C82",="20000",="1PBP2",="1JC4W",="1DVXM",="18Y68",="14EWT",="108C8",="ZDV5",="WUSW",="UHN2",="SCa8",="QG8g",="ORAO",="N0SH",="LP4C",="K9HC",="IkAW",="HeM1",="Gch2",="FfEW",="ElTi",="E4Um",="DHA8",="CXF2",="Bqf8",="BIR8",="AhNk",="ACQu",="9gWW",="9EaX",="8nZ2",="8OO8",="8000"
="2^22",="10000000000000000000000",="21220002111121",="100000000000",="2033204204",="225522024",="50436202",="20000000",="7802447",="4194304",="2405274",="14A3314",="B3B14A",="7B2772",="57CB54",="400000",="2G3C2D",="23H36G",="1D39AG",="1645F4",="10BIIG",="HJJK4",="EMGH1",="CF9IG",="AIAM4",="94GFA",="7O2DG",="6N1OG",="5QS85",="55AA4",="4GOG4",="40000",="3HNH4",="34O9U",="2RSW9",="2HWCG",="28TSL",="20GOG",="1VRNA",="1PLHO",="1JZ54",="1EPUG",="19WHf",="15AL4",="111BY",="h48O",="eIYO",="biLG",="ZVi2",="XRa4",="VVTD",="Th7a",="S98h",="QYKG",="PBU4",="NnQG",="MasG",="LSlY",="KOrr",="JP54",="ITC5",="Hb84",="GmmG",="G000"
="2^23",="100000000000000000000000",="120210012000012",="200000000000",="4121413413",="455444052",="131205404",="40000000",="16705005",="8388608",="480A538",="2986628",="1979297",="1185104",="B0A7A8",="800000",="5F7759",="47G6DE",="37702D",="2C8BA8",="212GGB",="1DHHI8",="16MAB2",="116JD8",="LBLJ8",="I974K",="FL505",="DI3L4",="BORGA",="AAKK8",="92I18",="80000",="72E18",="69EJQ",="5KMTI",="4ZSOW",="4HMK5",="40XAW",="3OG7K",="3B2Z8",="2dTA8",="2T9IW",="2JLZd",="2AKg8",="222NN",="1e8H2",="1XbM1",="1RegW",="1MEd4",="1H5M8",="1CC7Q",="17YFK",="13IHX",="rEeW",="oN58",="lgqW",="jGpW",="gvbA",="enml",="coA8",="awOA",="ZCG8",="XYXW",="W000"
="2^24",="1000000000000000000000000",="1011120101000101",="1000000000000",="13243332331",="1355332144",="262414111",="100000000",="34511011",="16777216",="9519A75",="5751054",="3625561",="232A208",="1716061",="1000000",="BDEEB1",="8FED9A",="6EE057",="54H30G",="425CC1",="35DDEG",="2DLKM4",="22DF2G",="1HNIDG",="1AIE9E",="14FA0A",="R87E8",="NKQ3K",="KLBAG",="I552G",="G0000",="E4S2G",="CIT5I",="B6AO1",="9ZLDS",="8Z83A",="81SLQ",="79WF1",="6M5UG",="5cHKG",="5GIbM",="4d0SZ",="4KfeG",="44521",="3YGY4",="3KRi2",="37XbG",="2iTT8",="2YAiG",="2OOF1",="2FGUe",="26aZD",="1qTRA",="1jkAG",="1dTn8",="1XXk7",="1RvGK",="1MecZ",="1HeKG",="1CtmK",="18OWG",="14641",="10000"
="2^25",="10000000000000000000000000",="2100010202000202",="2000000000000",="32042220212",="3155104332",="555131222",="200000000",="70122022",="33554432",="17A38A3A",="B2A20A8",="6C4AAC2",="4656412",="2E2C0C2",="2000000",="16ACC52",="HDB912",="DA90AE",="A9E61C",="84B432",="6B557A",="54KIL8",="453658",="3AMC27",="2LB2J2",="293K0K",="1QGF0G",="1ICN7B",="1BCML2",="15AA51",="100000",="S9N4W",="P3OB2",="MCLD2",="JZ6RK",="HXG6K",="G3J5E",="EJPU2",="D4BKW",="BZYeW",="AWbX2",="9Z1ER",="8fdaW",="88A42",="7MXM8",="6f8f4",="6FJQW",="5eA9G",="5ILcW",="4mmU2",="4UX9S",="4DKHQ",="3p50K",="3abKW",="3N3gG",="3AAZE",="2tuWe",="2jMIB",="2ZKeW",="2PoZe",="2Gn2W",="28C82",="20000"
="2^26",="100000000000000000000000000",="11200021111001111",="10000000000000",="114134440424",="10354213104",="1443262444",="400000000",="150244044",="67108864",="34976979",="1A584194",="10B988B4",="8CAC824",="5D59194",="4000000",="2D487A4",="1H95024",="181I129",="10J8C34",="G91864",="D0AAEK",="A9IEJG",="8A6CAG",="6LJO4E",="5GM5C4",="4I7D1D",="3P5214",="37PHEM",="2MPFC4",="2AKKA2",="200000",="1NJD9V",="1G7EM4",="19P7Q4",="13YDJ4",="ZTWD3",="W70AS",="T0CL4",="Q8N1O",="NUSeN",="LNXO4",="JR2TB",="HdZTK",="GGK84",="EjKiG",="DZHZ8",="CUd5G",="BVKIW",="AahRE",="9kk94",="99EJ4",="8QeYq",="7mA0e",="7IJf9",="6k7SW",="6KLDS",="5rt7M",="5ViaM",="5AfL4",="4peAJ",="4Xa52",="4GOG4",="40000"
="2^27",="1000000000000000000000000000",="100100112222002222",="20000000000000",="233324431403",="21152430212",="3216555221",="1000000000",="310488088",="134217728",="69842847",="38B48368",="21A64498",="13B7B248",="BBB3338",="8000000",="598GF38",="3H0A048",="2G3H24I",="21IH468",="1BI2GC8",="140KL7I",="KJE6G9",="GKD0L8",="DIEN93",="B7IAO8",="99EQ2Q",="7MA428",="6FM60F",="5FL0O8",="4LA9K4",="400000",="3E5QJT",="2WETA8",="2JFFH8",="27WR28",="1YMRQ6",="1QE0LI",="1J0P38",="1CH638",="16KGe5",="115P68",="dB5FM",="ZZREe",="WWeG8",="TifgW",="RNZNG",="PDUAW",="NDebF",="LNb4S",="JgfI8",="IISc8",="H0SGp",="FgK1Q",="EadRI",="DaF18",="CegQu",="BnqEi",="B4UDi",="ALMg8",="9gJKc",="95AA4",="8WmW8",="80000"
="2^28",="10000000000000000000000000000",="200201002221012221",="100000000000000",="1022204413311",="42345300424",="6436443442",="2000000000",="621087187",="268435456",="128585593",="75A94714",="437C8963",="27918492",="18876671",="10000000",="B20GD6G",="7G1208G",="5D7F49H",="43HE8CG",="32F5C3G",="281JKFE",="1IG5D9I",="19H21IG",="12C4LI6",="MFALMG",="IJ2P5P",="FGK84G",="D2FC11",="B1C1IG",="9BKJ98",="800000",="6SBK6P",="5UTOKG",="53UUYG",="4FTI4G",="3W8IFC",="3ES14a",="2c1B6G",="2OYC6G",="2CeXdA",="22B8CG",="1ZMAV1",="1RRATa",="1KKZWG",="1DhbdI",="180NkW",="12RCLG",="kRWPU",="glO96",="dYVaG",="ab5OG",="Y13Xn",="VUe2q",="TINsa",="RGU2G",="PORrt",="NfkTU",="M91RT",="KgjOG",="JNcfF",="IAKK8",="H2Y1G",="G0000"
="2^29",="100000000000000000000000000000",="1101102012212102212",="200000000000000",="2044414332122",="125135001252",="16206220214",="4000000000",="1342185385",="536870912",="256060076",="12B969228",="872C45C6",="51432944",="321ECCE2",="20000000",="1541G9DF",="FE240HE",="B7FB90F",="87F8H5C",="659B37B",="4G3HJ96",="3E9B3JD",="2JA43D8",="24O9IBC",="1J4LHJ6",="1AB5NBN",="135CG94",="Q51O22",="M2O372",="INA7IG",="G00000",="DNN7DH",="BRPF6W",="A7QQXW",="8VN08W",="7RGaUO",="6TI29Y",="5b2MCW",="59SOCW",="4PeQbK",="44MGOW",="3S1LJ2",="3BALFS",="2efQJW",="2RfTWa",="2G10kH",="256OgW",="1i6G2B",="1ZimIC",="1SICLW",="1LMAmW",="1F27Ej",="197Q5o",="13alsH",="sX44W",="omtor",="lPZ12",="iI2sw",="fPUmW",="clGLU",="aKeeG",="Y552W",="W0000"
="2^30",="1000000000000000000000000000000",="2202211102201212201",="1000000000000000",="4144334214244",="254314002544",="35415440431",="10000000000",="2684381781",="1073741824",="501110141",="25B716454",="1415B8BBC",="A2865488",="643EAAD4",="40000000",="2A83G2AD",="1DA481HA",="13FC3I1B",="GFAHEB4",="CAJ16F1",="9A7DGIC",="75IM7G3",="5EK872G",="49NJBMO",="3C9H9CC",="2KMBJNJ",="26AP4I8",="1NA3J44",="1E5I6E4",="16FKF61",="1000000",="REDER1",="NLGUDU",="KFIIWT",="HRA0HS",="FHXaOB",="DKa4JU",="BZ55PP",="AJH8PO",="9AeCXe",="892X7M",="7D2gc4",="6MKgVC",="5ac7dJ",="59bDJQ",="4W21jY",="4AD1bG",="3dCW4M",="3LdkaO",="35aOhD",="2giLjC",="2U4ETb",="2IEqBk",="27IerY",="1rA898",="1iesin",="1apC24",="1Ta5ov",="1Mp1b4",="1GXWgy",="1AfJIW",="15AA51",="100000"
="2^31",="10000000000000000000000000000000",="12112122212110202102",="2000000000000000",="13344223434043",="553032005532",="104134211162",="20000000000",="5478773672",="2147483648",="A02220282",="4BB2308A8",="282BA4AAB",="1652CA932",="C87E66B8",="80000000",="53G7F549",="3928G3H2",="27C57H33",="1DB1F928",="140H2D92",="IKF5BF2",="EBELF96",="B5GGE58",="8JMDNKN",="6OJ8IOO",="5EHNCKB",="4CLM98G",="3HK7988",="2SB6CS8",="2D09UC2",="2000000",="1LSQTL2",="1D8XQRQ",="15V22UN",="ZIK0ZK",="UZUaBM",="R3Y91M",="NVABCB",="KcYHB8",="ILdPQd",="GI5OF2",="EQ5gX8",="D0ffIO",="BSVFXc",="AJSQd6",="9H43iL",="8KQ3QW",="7TPF8i",="6hThMm",="6BLnZQ",="5XahcO",="578T6L",="4aToNc",="4EbQqD",="3oKGIG",="3WOqWf",="3FiO48",="30DBgt",="2jg3E8",="2X64Ox",="2LKcb2",="2AKKA2",="200000"
="2^32",="100000000000000000000000000000000",="102002022201221111211",="10000000000000000",="32244002423141",="1550104015504",="211301422354",="40000000000",="12068657454",="4294967296",="1904440554",="9BA461594",="535A79889",="2CA5B7464",="1A20DCD81",="100000000",="A7FFDA91",="704HE7G4",="4F5AFF66",="3723AI4G",="281D55I4",="1FJ8B184",="1606K7IC",="MB994AG",="HEK2MGL",="DNCHBNM",="B28JPDM",="8PFGIH4",="76BEIGG",="5QMCPQG",="4Q0JTO4",="4000000",="3AOKQ94",="2QHXJLI",="2BR45QB",="1Z141Z4",="1OYOZN7",="1G7UI36",="18NKMOM",="11bSYMG",="b2cACb",="WaB6U4",="T9BgNG",="Q1dcb4",="NCHVMV",="KdB7WC",="IY87fg",="Gf475G",="FA1UHd",="Db9ajk",="CMhmK1",="BFLZOm",="AEH5Cg",="9J5klM",="8TJrnQ",="7ieWaW",="77nm8P",="6VUm8G",="60QNQp",="5VO6SG",="55C8nv",="4gfFC4",="4KeeK4",="400000"
="2^33",="1000000000000000000000000000000000",="211011122110220000122",="20000000000000000",="120043010401332",="3540212035412",="422603145041",="100000000000",="24148426018",="8589934592",="3708880AA8",="17B8902B68",="A6B826445",="5B6B908C8",="3541CAC12",="200000000",="13FEEA412",="E09HAFE8",="9BB2CBCC",="6E471G9C",="4G35ABF8",="39GH02G8",="2C0DHFE1",="1KMII8L8",="1A4F5K8H",="11KP8NLI",="M4HCO0H",="HN35968",="ECN0843",="BNEPLN2",="9L18SH8",="8000000",="6LG8JI8",="5J1X592",="4NJ8BHM",="3Y283Y8",="3CWCY9E",="2WFMa6C",="2H826A5",="23ZHT4W",="1X5ZKPX",="1NUMDI8",="1FINg3W",="183ZXU8",="11OZI0H",="fWMFIO",="bLGFab",="XY8EAW",="UK3BZT",="ROJNfg",="Ojaje2",="MUhIni",="KSYAPV",="IcBdei",="H3dqhq",="FXP9H8",="EFgdGo",="D53cGW",="C0qkrh",="B2mCuW",="AAOHcr",="9NKUO8",="8fIHe8",="800000"
="2^34",="10000000000000000000000000000000000",="1122100021221210001021",="100000000000000000",="240141021303214",="11520424115224",="1145506323112",="200000000000",="48307853037",="17179869184",="7316651AA5",="33B5605B14",="180A34C88A",="B8D9413B2",="6A83A6924",="400000000",="27ECC3824",="1A11H3DAG",="104356465",="D88E3CJ4",="9B6B029G",="6JBC05AG",="5114C852",="3HLDCHIG",="2K95BFH9",="23FOHLHA",="1H97PL17",="17I6AICG",="SPH0G86",="NGTLDG4",="JB2HQ3G",="G000000",="D9WH63G",="B43WAI4",="9C3GN09",="7W4G7WG",="6PRPVIS",="5QV7YCO",="4YG4CKA",="47UZI9O",="3PBU0AP",="35J2QaG",="2Ub4f7L",="2G7RNGG",="234Pa0Y",="1bIiUb2",="1RgWVQR",="1JKGSLG",="1Be6NM9",="14mclXY",="neMeT4",="j9Ybla",="f4FKp9",="bMNPRY",="Y7OoWn",="VAoIYG",="SVSLXh",="QA7IX6",="O1kYmR",="M5aPr4",="KKmZGj",="IkeymG",="HJaZHG",="G00000"
="2^35",="100000000000000000000000000000000000",="10021200120220120002112",="200000000000000000",="1030332043111433",="23441252234452",="2324315646224",="400000000000",="107616816075",="34359738368",="136321A3A9A",="67AB00BA28",="331769C447",="193D482784",="D6175D348",="800000000",="4FC876G48",="3223G793E",="2086AC8CA",="16GH875I8",="J1D104JB",="DH120ALA",="A2291GA4",="7BJ31BD8",="5FIAN69I",="475N9H8K",="37IFOF2E",="2F8CL8P4",="1SM513GC",="1H3TCR28",="17M54L71",="10000000",="QJW1C6W",="M87UL28",="IO6XB0I",="FS8WFSW",="DEIEQ0J",="BFOFUPA",="9TW8P1K",="8FLUaJ8",="79NJ0L9",="6Ac5BUW",="5IV9dEg",="4WFB2WW",="4696R1N",="3SbhFS4",="38cIG67",="2ceX8gW",="2NVCkiI",="29lRjHI",="1mTjU78",="1cJHNhK",="1T8UfnI",="1Kikp1E",="1DEnkAh",="16LibCW",="105uhAT",="qKEb8C",="m3YAbs",="iBCpk8",="efa9XT",="bVJxYW",="YdA7YW",="W00000"
="2^36",="1000000000000000000000000000000000000",="20120101011211010012001",="1000000000000000000",="2111214141223421",="51322544513344",="4651634625451",="1000000000000",="216334733161",="68719476736",="27164397A89",="1139A01B854",="663206B891",="347C925128",="1BC2EBB691",="1000000000",="9E7GEDF8G",="6447EF07A",="40GD25H61",="2DDEGEBGG",="1H35209I1",="15C240LKK",="K44I39K8",="ENE62N2G",="B6BLLCJB",="8EBKJ8HE",="6FA4M351",="52GPEHM8",="3SFA273O",="347SPO4G",="2FDA9BE2",="20000000",="1K6V2ODV",="1AGFR84G",="12DDVM11",="VKHSVLS",="QSaTF11",="MVAVNCK",="JKPHB31",="GV3LWcG",="EJ5c11I",="CLYANJM",="AbJJZTf",="9KUM5LK",="8CID931",="7BTeVA8",="6HTaWCE",="5TXIHbG",="4lDPida",="4Jj5eYa",="3k8e9EG",="3OcYlYe",="35H8Uja",="2fZdm2S",="2QTibLV",="2ChXIP8",="20BuTL1",="1keTGGO",="1b79LGn",="1SMPhWG",="1KMBJ5w",="1D0dv72",="16FKF61",="1000000"
="2^37",="10000000000000000000000000000000000000",="111010202100122020101002",="2000000000000000000",="4222433333002342",="143045533431132",="12633602554232",="2000000000000",="433670566332",="137438953472",="53318784A67",="2277803B4A8",="CC6410A452",="691B44A252",="3895E87D32",="2000000000",="12BFGCAE0F",="C88FBC0F2",="81E74BFC2",="5779D93DC",="3D6A40JF2",="2B2481LJI",="1H89D6JHG",="15N4C5M58",="MCNII0DM",="H2NFCH92",="D3K9H6A2",="A55N17GG",="7S1K4E7J",="68FRLI92",="4UQKIMS4",="40000000",="37DT5FRT",="2KWVKG8W",="24QRS922",="1R4ZLR7K",="1GKaLU22",="17OLP8P2",="102BYM62",="XM73PaW",="ScBZ22a",="P1QL4d2",="LVcdSGd",="IfH0Age",="GOaQI62",="ENDZGKG",="CZCQHOS",="BBIaZQW",="9jR2eUN",="8deBVJM",="7fHTISW",="6nPHhHS",="6AYH8cJ",="5THPg52",="4r4YJh7",="4PVAaoG",="40Nu1g2",="3ZN0WWm",="3FEIgXd",="2uipR4W",="2eiMcBt",="2Q1HqE4",="2CUeUC2",="2000000"
="2^38",="100000000000000000000000000000000000000",="222021111201021110202011",="10000000000000000000",="14000422221010234",="330135511302304",="25600505441464",="4000000000000",="867451243664",="274877906944",="A6636459A23",="4533407A994",="1CBC82178A4",="D4388964A4",="723BE20B64",="4000000000",="256EG84B1D",="16GHD561C4",="G39E94C54",="AEEJ6I774",="75CK81I94",="5048G3LHE",="3BGJ3DGC9",="2BM90BKAG",="1K0MCB12J",="185L4P8I4",="Q7DJ7CK4",="KABI2F54",="FR3B8SF9",="CH1PD6I4",="9UMA6EP8",="80000000",="6ERPAVMP",="57VT6WHU",="49IKLI44",="3I9Z7IF4",="2X4a6N44",="2FB5CHC4",="204NU5C4",="1R4E7BXO",="1GZNT45V",="183B09a4",="10KYaDXZ",="bcY0Lfa",="X4S7aC4",="T0ROWeW",="PNP5Z29",="MMbPN5G",="Jg55WBk",="HTUNCci",="FVZ7b6D",="DkoZYZ4",="CLFYHNc",="B4YpUA4",="9p9DdVE",="8p6LHiW",="80lt3R4",="7Ck177c",="6USbQ8J",="5rTgs94",="5KRjFNn",="4q2ZgS8",="4OzHyO4",="4000000"
="2^39",="1000000000000000000000000000000000000000",="1221120000102112221111022",="20000000000000000000",="33001344442021023",="1100315423005012",="54501314213261",="10000000000000",="1846012487438",="549755813888",="1A2171908946",="8A668139768",="3CAC3432478",="1C87334C968",="E478D417C8",="8000000000",="4ADCFG9539",="2DFH8AC368",="1D709I95A8",="1199IDGEE8",="EB4JG3FI8",="A08HA7LD6",="70AF74A1I",="4NKI0NGL8",="3F1JOM25D",="2GBG9OHA8",="1PF0BEPD8",="1CKN852A8",="12P6MHS1I",="P43KQD68",="JUDKCTJG",="G0000000",="CTMHLUCH",="AFTODV1Q",="8J268188",="70JYF0U8",="5T9ZD988",="4UMAOYO8",="4098LAO8",="3E8SENR8",="2XU6H8BL",="2G6M0JU8",="20fQTROR",="1VXO0hdS",="1L9BFRO8",="1C193JZI",="1403BN4I",="ijR2kAW",="dZABFNh",="Z9AkPRc",="VCJFNCQ",="RfnJHI8",="OgVFYlN",="M9Fn6K8",="JlIRO7S",="HkCgZX8",="G1cr6s8",="EPY2EFI",="D1vFqGc",="BkxPmI8",="AetTUlb",="9g59MuG",="8nxZvm8",="8000000"
="2^40",="10000000000000000000000000000000000000000",="10220010000212002212222121",="100000000000000000000",="121003244434042101",="2201035250014024",="142302631426552",="20000000000000",="3803025085877",="1099511627776",="394333716791",="159114277314",="7C8B6864923",="3B30669B4D2",="1D902B830A1",="10000000000",="94A8EG1A71",="59DGH366CG",="37E10HIB1G",="22IJH7D98G",="1819IB7AFG",="K0HCKFL4C",="E0L7E8K3D",="9NHC1N9IG",="753EOJ4B1",="56N6JN8KG",="3O30N2NQG",="2PDIGA4KG",="25LDG6R37",="1K87BMQCG",="18TR9PS81",="100000000",="PQC2ARP1",="KVPERS3I",="H34CG2GG",="E13WU1OG",="BLJXQIGG",="9N6LBVAG",="80IH3L9G",="6SHGT7EG",="5QJCYGN1",="4WD20dIG",="41eAGC6B",="3JN41hZC",="2gIMVA3G",="2O2I6dOa",="2806Mk8a",="1fh65iLG",="1ULKMUlb",="1KILh15Q",="1BOcUkP1",="13VkcYaG",="nW9VGfk",="iIViCeG",="ddasmF1",="ZaPTFAG",="W3KnDpG",="SpA4SUa",="Q3tVjXH",="NXwpaaG",="LKnx0YD",="JMAIjoW",="Hau8qXG",="G000000"
="2^41",="100000000000000000000000000000000000000000",="21210020001201012202222012",="200000000000000000000",="242012044423134202",="4402114540032052",="314605563156434",="40000000000000",="7706051182865",="2199023255552",="778667332472",="2B6228532628",="12C4A03C9546",="7860CD589C4",="3C305816152",="20000000000",="11940CF33E2",="B19FG6CD7E",="6F921GI33D",="45HJEF6IHC",="2G2JG1F0AB",="1I1D3J9K92",="151JF5HH73",="JNB03MJD8",="EA74OD8M2",="ADKDDKHF6",="7L61J5KQ5",="5MR94K9D4",="4BDR3DP6E",="3AGENFMP2",="2HSNJKPG2",="200000000",="1IJO4LMH2",="17TGTLM72",="Y68OW4WW",="S27TO3CW",="N62UFaWW",="J8D4NOKW",="G0aY73IW",="DGYXIESW",="BBcPRX52",="9MQ41aaW",="83bKWOCM",="6d283hQO",="5db0HK6W",="524aDX3Q",="4G0CjjHP",="3ZcCBegW",="3BgejCkP",="2eaha2B2",="2MnQAfo2",="27BfPHKW",="1kBJ9XUd",="1Yb9YPQW",="1OOIsfU2",="1FGp2UKW",="176ffRjW",="viK8v3E",="q7q4W7Y",="l7vhDCW",="gfcv17Q",="ciKbTd2",="ZAnHg3W",="W000000"
="2^42",="1000000000000000000000000000000000000000000",="120120110010102102112221101",="1000000000000000000000",="1034024144401323404",="13204233520104144",="632514456346201",="100000000000000",="16513112375841",="4398046511104",="1446223664934",="5B0454A65054",="25B9707C5A8C",="112C1BCB35A8",="7960B12C2A4",="40000000000",="231818D67B4",="1431DED78FA",="DBI43EH677",="8BFJ9ADHF4",="5B5IB39101",="3E347GJII4",="2A3G7BCBE6",="1FMM07LF2G",="13KE9O1HJ4",="L1F11F94C",="FFC3BBEPA",="BHQI9CIQ8",="8MRP6RLCS",="6L2TH1FK4",="54QG8AK14",="400000000",="346F9AC14",="2FOXP9AE4",="1XCHET9UT",="1K4FNC6PS",="19C5NVaSR",="10GQ99B3Q",="W1YTE6bP",="QXTQaTHO",="MNaAEPA4",="J3A83VVM",="G7VfM5P1",="DY4G7h94",="BYT0YeDJ",="A49QRK76",="8W0PihZ3",="7NSONXbG",="6NaWfPi1",="5VNbM4M4",="4jm1LWn4",="4ENUoYfC",="3dMcJE8P",="3FKJEorA",="2mmbsS54",="2UXk54f8",="2EDQPtY7",="1vUeHu6S",="1jFj95F9",="1YFtQQP4",="1OMGr2Eq",="1FQfCxG4",="17LZZL71",="10000000"
="2^43",="10000000000000000000000000000000000000000000",="1011010220020211212002212202",="2000000000000000000000",="2123103344303202313",="30412511440212332",="1565332246025402",="200000000000000",="34126224762782",="8796093022208",="2891447219768",="BA08A990A0A8",="4BA6112BB84B",="225A39B86B72",="103C17259558",="80000000000",="462G309CF58",="28639B8EHD2",="184H87AFCEE",="H3BIJ17FA8",="B1BG16I202",="7668FBHFE8",="4K79F0205C",="37LK0FJ658",="27G3JN3AD8",="1G34234I8O",="143O6MN2NK",="N7P8IP9OG",="HGQLDQDPR",="DC5T431A8",="A9M1GL928",="800000000",="68CUIKO28",="4VFXGIKS8",="3VOYTNJQN",="348VAODFK",="2IOBAQaKH",="20XEIIM7E",="1P3UJSDaB",="1DRJDXIZ8",="146VKT9K8",="c6KG7LL2",="WFKe1B72",="RO8WFgI8",="NOD1OZQc",="K8J78eEC",="HH14geN6",="El90lJQW",="ClOGY2d2",="BClOi8i8",="9ej2hEl8",="8Sl9nHUO",="7PjNcSGo",="6UecTlqK",="5ggKs1A8",="55BaA9QG",="4SQqpsBE",="3v3MZsCu",="3VVVIAUI",="38Voqqo8",="2miXj4Th",="2UrKPuW8",="2Eh87gE2",="20000000"
="2^44",="100000000000000000000000000000000000000000000",="2022021210111200201012202111",="10000000000000000000000",="4301212244111410131",="101225423320425104",="3463664525054104",="400000000000000",="68253450635674",="17592186044416",="5672893438425",="1B81597618194",="9A7C225AA399",="44B67592D904",="20792E4B3AB1",="100000000000",="8C5F6128DAG",="4GC714HBH84",="2G9FGF2C6A9",="1E73HI2FB0G",="1132B2DF404",="ECCH91D96G",="9HEJ7040B1",="6FJG17ECAG",="4F77EL6L1G",="3668469AHM",="287LDIJ5KD",="1IFMH9MJL4",="164ODRNRMP",="QOBS862KG",="KJD32BI4G",="G00000000",="CGPS48F4G",="9SVWX37MG",="7SEYOC4IB",="68HQLCQV4",="50BMLGa3Y",="41SSab6ES",="3B7M0HRXM",="2REcRQbUG",="28DM0HIeG",="1YCeWF104",="1LUfb2ME4",="1B4HKVeaG",="123Q34Q8V",="eGcEHYSO",="YY29cXkC",="TkI1kd5G",="PjmXJ5T4",="MPincHcG",="JUd5ZThG",="H5gJkZ8m",="EpblO3Xl",="D7RN5foe",="BUTfr2KG",="AANGKIqW",="8urmkpMS",="7u6jDoPs",="7443aL1a",="6H3fjjeG",="5aS6T8xP",="4ziepp2G",="4TNGFLS4",="40000000"
="2^45",="1000000000000000000000000000000000000000000000",="11121120121000101102102111222",="20000000000000000000000",="14102430043223320312",="202455251041254212",="10260662353141211",="1000000000000000",="147517011372458",="35184372088832",="1023567687584A",="3B42B73034368",="1682B44B87765",="898D0B45D408",="41035D977672",="200000000000",="107BDC250A4F",="9F6E29H5GG8",="5E0CEB55D1I",="38E7FG5B21C",="22651569808",="1733CI34IDA",="JC6FE080M2",="D7F82F50L8",="95EF4HDH37",="6CCG8CIL9I",="4GFG0ABBDQ",="393H6JHBE8",="2C9JRQIQGL",="1NINQGC5B2",="1A7Q64N591",="1000000000",="P0IN8GU8W",="JNTVW6FAW",="FLTYDO91M",="CGZH6PHQ8",="A0N85XZ7V",="83JJZaCTI",="6MF50ZGS5",="5ETbFDZKW",="4GR30YbdW",="3QPdMU208",="30IeV51S8",="2M8YfJbSW",="2477697HH",="1YXUSZNB2",="1ML4JUKjO",="1Bia3jUAW",="12gmHcB98",="j1dnQZQW",="dARBK8ZW",="YBWdfIHi",="ToMfm7Ef",="QF0kBTlQ",="N64Sp4eW",="KKkWebn8",="Huoeajiu",="FsDWRgpo",="E887Dg3D",="CY7NVVKW",="BBuCwHvo",="9zRJfe4W",="8wkWUgu8",="80000000"
