,Base 2,Base 3,Base 4,Base 5,Base 6,Base 7,Base 8,Base 9,Base 10,Base 11,Base 12,Base 13,Base 14,Base 15,Base 16,Base 17,Base 18,Base 19,Base 20,Base 21,Base 22,Base 23,Base 24,Base 25,Base 26,Base 27,Base 28,Base 29,Base 30,Base 31,Base 32,Base 33,Base 34,Base 35,Base 36,Base 37,Base 38,Base 39,Base 40,Base 41,Base 42,Base 43,Base 44,Base 45,Base 46,Base 47,Base 48,Base 49,Base 50,Base 51,Base 52,Base 53,Base 54,Base 55,Base 56,Base 57,Base 58,Base 59,Base 60,Base 61,Base 62,Base 63,Base 64
2^-10,0.0000000001,0.000000201012222121022200012221011,0.00001,0.0000301121332421432123,0.0001133213,0.000222614551014024,0.0004,0.0006358772801871,0.0009765625,0.001333049323706,0.00183,0.0021B78B055A56,0.0029730C37,0.0034689CD2164,0.004,0.004D99E6226F,0.005C951249,0.006D514BEG75,0.007G5,0.0090J7KB1KG5,0.00A8GIC85B,0.00BK6B6JCM1,0.00DC,0.00F6BIEBNBD,0.00H46NEG6D,0.00J5QG8I5P4,0.00LC7,0.00NNKC49J1,0.00QB0E1Q7F,0.00T2R4P6N8,0.01,0.0123456789,0.014D0I248H,0.016UFV9L5H,0.019K9,0.01CH8Q79QN,0.01FMA3LE9J,0.01Ia8M7bH3,0.01MK,0.01QCLXRO2,,0.01YRSe4HP,0.01d8B,0.01hiNB5EC,,0.027IEYM3T,0.02C,0.02GhXa1SI,,0.02RRWaf4R,0.02XGD,0.02dKT1mQI,,0.02qQ8ZXVH,0.033S,0.039mXpFBA,,0.03NXLFMbv,0.03UuF,0.03ceK4Zm,,0.03tBlJdR,0.04
2^-11,0.00000000001,0.000000100121111022011100002222002,0.000002,0.0000123033141210441034,0.00003444043,0.000111305624005345,0.0002,0.000317438140088,0.00048828125,0.000717024711903,0.000A16,0.0010C3AC029529,0.0014A8761A7,0.0019ABC668832,0.002,0.0026D4FB99BG,0.002F4B9A249,0.0036C0BF783C,0.003I2A,0.004AK3KG0KID,0.005489642GB,0.005LEH39HMC,0.006I,0.007FI975O5J,0.008F3BK836D,0.009GD8492Q2,0.00AK3E,0.00BQA624O,,0.00EGT2CIR4,0.00G,0.00HI22JK44,,0.00KWPFMAK8,0.00MS4I,0.00OR4D3NDB,,0.00SbNUNIS1,0.00VA,0.00XQVGYC1,,0.00cZEK28Y,0.00fQ5M,0.00iMBS2TS,,0.013WUeYPE,0.016,0.018LfI0cX,,0.01DdGIKRd,0.01GY6Q,0.01Jaf0odZ,,0.01QD4HiFa,0.01Tg,0.01XOGs7Y5,,0.01fGe7emS,0.01jS7U,0.01noeWmO,,0.01x5t9pD,0.02
2^-12,0.000000000001,0.000000011210202011002011112222112,0.000001,0.0000034014043102443014,0.000015220213,0.000040502645336156,0.0001,0.0001536640644884,0.000244140625,0.000363567906457,0.000509,0.0006C856014914,0.0009543A0C37,0.000C55DAABB91,0.001,0.00136AG5D4E8,0.0017B5DE1249,0.001CF9F7D41F,0.001J15,0.0025A1KIAKJH,,0.002M78D4KB6,0.0039,0.003K94G2OF9,,0.004LK424EQE,0.005A1L,0.005RJHFGQE,,0.0078EGLOT2,0.008,0.008PHHQA22,,0.00AGCPB5A4,0.00BE29,0.00CDKP1U6O,,0.00EIVFBSXK,0.00FP,0.00GXa8H6,,0.00JHSVMPc,0.00KZ2X,0.00MB5aNbE,,0.00PGFKHCU,0.00R,0.00SZKXOhf,,0.00WJXYZdJ,0.00YH3D,0.00aIKQpkH,,0.00eY28nZI,0.00gn,0.00jC8R3jV,,0.00o8K3nrh,0.00qi3j,0.00tPKGOC,,0.00z2x4v6,0.01
2^-13,0.0000000000001,0.000000002101212120112120202222202,0.0000002,0.0000014232021301221232,0.0000054101043,0.000020234656153063,0.00004,0.0000717764766886,0.0001220703125,0.000187289458783,0.0002646,0.00036429672472,0.0004991C061A7,0.00062A6CCD5C,0.0008,0.000A3582F274,,0.000FH4H3G20H,0.000JACA,0.0012FBA95A9J,,0.001B3FI2A5E,0.001GC,0.001MH281C7H,,0.002ANFEFKQK,0.002J0OE,0.002S9N7MRL,,0.003JMNQCEG,0.004,0.004CP8TLHH,,0.00586CN2MJ,0.005P14I,0.0066SV0XLU,,0.0079FR5XaA,0.007WK,0.008GcOT3,,0.009UEFWYJ,0.00AHNGM,0.00B5PIBf7,,0.00CVVA8Tc,0.00DO,0.00EHYfCLj,,0.00G9gHHj9,0.00H8RWQ,0.00I9ADPnZ,,0.00KH14Oj9,0.00LOS,0.00MYWg1pF,,0.00P4A1sQp,0.00QM1qU,0.00RhA8C6,,0.00UWz2SY,0.00W
2^-14,0.00000000000001,0.000000001012102210021021212222212,0.0000001,0.0000004341010400333113,0.00000250303213,0.000010115663061365,0.00002,0.0000353832377887,0.00006103515625,0.000099144784397,0.0001323,0.0001987B3378A1,,0.0003153666A6,0.0004,0.00051B4179C2,,0.0007I28B8108,0.0009F65,0.000BI5FF2FF9,,0.000H1J9152I,0.000K6,0.000NL140IG8,,0.0015BL77NQN,0.0019EC7,0.001E4Q3PSA,,0.001PBBSLMN,0.002,0.0026CKVAP8,,0.002LKNT1B9,0.002UIK9,0.0033EFIZAX,,0.003O7X2aI5,0.003aA,0.0048JCEM,,0.004aSTGH9,0.0058XUB,0.005PCVSKQ,,0.006Fd54Eg,0.006a,0.0078fj6Al,,0.0084kY8m4,0.008UDgD,0.0094VXCpH,,0.00A8S2CMW,0.00AeE,0.00BHGL0s7,,0.00CVYURDP,0.00DB0uF,0.00Dq5463,,0.00FGUWjm,0.00G
2^-15,0.000000000000001,0.000000000121012220010122102222221,0.00000002,0.0000002143002422414031,0.000001231314043,0.000003406331364166,0.00001,0.0000171861183888,0.000030517578125,0.00004A0779421A3,0.00007716,0.0000B43C183AB7,,0.000182933353,0.0002,0.000295A93D61,,0.0003IADF409D,0.0004HD2A,0.0005JD7I17I4,,0.0008C9G0E19,0.000A3,0.000BN0ECLKG,,0.000G5O3HBQP,0.000IL63E,0.000LGRGCSJ,,0.000S5LEAQR,0.001,0.00136AFLT4,,0.001ARTEI5M,0.001F9A4I,0.001K77Ra5G,,0.001VNGKbSM,0.001c5,0.00249QRVK,,0.002IEETU4,0.002QGb5M,0.002Z6FaWZ,,0.0037h2PUi,0.003I,0.003SjMRTm,,0.0042NH4O2,0.004F6l6Q,0.004SgGWq8,,0.0054E16BG,0.005K7,0.005b8AStW,,0.006Fkih6g,0.006ZUS7U,0.006uX231,,0.007dklsO,0.008
2^-16,0.0000000000000001,0.00000000002200222112002220111111,0.00000001,0.000000104400121120424,0.0000004134350213,0.000001536514165433,0.000004,0.0000080875086444,,0.000025039476651,0.00003969,0.000058860A855A,,0.0000B8C191A17,0.0001,0.00014B54A6B9,,0.0001IEG7B9E6,0.00028GB5,0.0002K6E90E92,,0.000464JBIC4,0.00051C,0.0005O076AMK,,0.00082PF8JDC,0.0009AH1L,0.000AMS86E9,,0.000E2Q75DD,0.000G,0.000I357REI,,0.000MVEOQKB,0.000PMN29,0.000SM3WI2Q,,0.000ZBRTcEB,0.000d2K,0.00124XYFU,,0.001977EaN,0.001D8IOX,0.001HPUIGH,,0.001RLOaFM,0.001X,0.001clBDdO,,0.0021BY2C1,0.0027TNTD,0.002EL8GQ4,,0.002TYS35Z,0.002c3S,0.002l45ERi,,0.0037qpp3L,0.003HjE3j,0.003SGVW,,0.003pNNwh,0.004
2^-17,0.00000000000000001,0.00000000001100111021001110020202,0.000000002,0.000000024422310310212,0.00000020451531043,0.000000616605432551,0.000002,0.0000040437043222,,0.000012574793326,0.00001A946,0.00002AA96BA92B,,0.00005BD84850B,0.00008,0.0000AE2ADBE4,,0.0000IGHD5E73,0.0001485CA,0.0001A374AHF1,,0.0002329H962,0.0002CI,0.0002OCG35BA,,0.00041CL49K6,0.0004J8EOE,0.0005BE4374,,0.00071D3I6M,0.0008,0.00091J3U79,,0.000BFOTURN,0.000CTBJ4I,0.000EB1YRJV,,0.000HPDYJ75,0.000JLA,0.000LMbH7Z,,0.000Q3P7IB,0.000SQ9CGM,0.000VCbVUV,,0.000bAZfVB,0.000eO,0.000hm5VJa,,0.0010VH16,0.0013ebeWQ,0.0017AUYdS,,0.001EifT2j,0.001J1g,0.001NUV7Do,,0.001XQPt1e,,0.001ickG,,0.001vBhTL,0.002
2^-18,0.000000000000000001,0.000000000002000201220002011212121,0.000000001,0.0000000122111301301032,0.000000102235433213,0.000000306636214624,0.000001,0.0000020218021555,,0.000006837947168,0.00000B483,0.000015549C547C,,0.00002D6B9BA05,0.00004,0.000057156E72,,0.0000988G2GD1,0.0000C42G5,0.0000FC3CFJ7B,,0.00011CG8G31,0.000169,0.0001C681F5H,,0.00020JO24NG,0.00029I7C7,0.0002K721I2,,0.0003G6H93B,0.0004,0.0004H9IF3L,,0.0005PCEWVB,0.0006ENRK9,0.00075JHDSF,,0.0008W6aT3M,0.0009UP,0.000AVd8OH,,0.000D1Y3UR,0.000ED4S8B,0.000FSfFbc,,0.000ISfKd5,0.000KC,0.000LmRFYI,,0.000Pf8Q3,0.000RkIkGD,0.000U5FHJe,,0.000YnmESo,0.000bSn,0.000eFFW6r,,0.000kDCv0n,,0.000qnrcU,,0.000y5rEg,0.001
2^-19,0.0000000000000000001,0.000000000001000100221112120221022,0.0000000002,0.0000000033303123123013,0.0000000311155144043,0.000000136653105645,0.0000004,0.0000010108455272,,0.000003419479089,0.0000058416,0.00000928B628A6,,0.000016AD4D502,0.00002,0.00002C0B3739,,0.00004DDHAHG,0.000062182A,0.00007GC67K3G,,0.0000C68481C,0.0000F4C,0.0000IFGD7F8,,0.000109PEFP8,0.00014N3K3E,0.0001A3FF91,,0.0001NIO4H5,0.0002,0.00028L97IA,,0.0002U67GFN,0.00037BVS4I,0.0003L9R6WQ,,0.0004G3IELB,0.0004ZCK,0.0005Fe4C8,,0.0006MH1aZ,,0.0007ah7fJ,,0.0009EKXh2,0.000A6,0.000Amc7fX,,0.000Ck4D1P,,0.000F2Y8aK,,0.000HOpYfq,0.000IgOS,0.000K7aG3Q,,0.000N6Zw0O,,0.000QOvJF,,0.000U2w7L,0.000W
2^-20,0.00000000000000000001,0.000000000000111200110202210110122,0.0000000001,0.0000000014124034034004,0.00000001333553520213,0.000000053325036322,0.0000002,0.0000004504227135,,0.00000176479459A,0.000002A209,0.0000047AC31453,,0.00000ACE26A01,0.00001,0.00001605A3A4,,0.000026G8EI8,0.0000310E15,0.00003IGDEA1I,,0.0000634240H,0.00007E6,0.000097KJ3K4,,0.0000DICKLCH,0.0000GBFO1L,0.0000JG7M4F,,0.0000R9C28I,0.0001,0.00014AL3PL,,0.0001F33PPB,0.0001LNXW29,0.0001T4W3GD,,0.000281SQU5,0.0002HQA,0.0002SK264,,0.0003B8MIH,,0.0003ei3h9,,0.0004UXeLO,0.00053,0.0005OJ3jG,,0.0006N26QC,,0.0007RhUia,,0.0008drHKr,0.0009LCE,0.000A3kaUD,,0.000BWlT0C,,0.000DCSe7,,0.000F1T3g,0.000G
2^-21,0.000000000000000000001,0.000000000000020211201212220020022,0.00000000002,0.0000000004312014242002,,0.000000025146016511,0.0000001,0.0000002246558062,,0.0000009323A22A5,0.00000151046,0.0000023BC80891,,0.00000567135,0.000008,0.00000B8B51DA,,0.00001384794,0.00001AA70CA,0.00001JIH750J,,0.000031DCDBK,0.00003J3,0.00004GA9EA2,,0.00006MJNO68,0.000085LQ0OE,0.00009MIB27,,0.0000DK6149,0.0000G,0.0000ILR1TA,,0.0000P1JCU5,,0.0000X2G1QP,,0.000140XWYM,0.00018X5,0.0001EA132,,0.0001R4B98,,0.0001giOLR,,0.0002FGhYC,0.0002PO,0.0002aY1l8,,0.0003BQScV,,0.0003eLfmi,,0.0004Js8bs,0.0004cY7,0.00051pkhZ,,0.0005jrETZ,,0.0006aioY,,0.0007WEXL,0.0008
2^-22,0.0000000000000000000001,0.000000000000010102100221110010011,0.00000000001,0.0000000002131004343223,,0.000000012423006604,0.00000004,0.0000001123274031,,0.0000004711A66A8,0.00000086623,0.0000011C640447,,0.000002AB09277,0.000004,0.000005CE296D,,0.00000B423E2,0.00000F53A65,0.00000K98E2AK,,0.00001C6HI5L,0.00001LDC,0.00002854JHD,,0.00003B9PC34,0.000042OR0C7,0.00004PNK13,,0.00006PIG24,0.00008,0.00009AU0V5,,0.0000CI9NWK,,0.0000GJQJDC,,0.0000LJaGHB,0.0000OGMK,0.0000RPL1L,,0.0000Z25Q4,,0.0000hiYXD,,0.00017VjH6,0.0001Ca,0.0001IH0m4,,0.0001VDEJF,,0.0001kbKom,,0.00029sVkR,0.0002JH3S,0.0002TPpoH,,0.0002qQaiH,,0.0003IMPH,,0.0003lcmA,0.0004
2^-23,0.00000000000000000000001,0.00000000000000120101122202000112,0.000000000002,0.0000000001040224421334,,0.000000004545003302,0.00000002,0.0000000511582015,,0.0000002360A88A9,0.000000433116,0.00000076320223,,0.000001557C13B,0.000002,0.000002EF9D36,,0.000005BAB71,0.000007CBF32A,0.00000A4EHBFK,,0.00000HEK92M,0.00000MII,0.0000142EM8J,,0.00001J4Q61F,,0.00002CQA0G,,0.00003CONGH,0.00004,0.00004LVGW2,,0.0000694TGA,,0.000089VS6O,,0.0000ATI88P,0.0000C8BA,0.0000DXALA,,0.0000HMOD2,,0.0000Lidd6,,0.0000RFk8Q,0.0000UI,0.0000XX0O2,,0.0000f6WZ7,,0.0000njAPO,,0.00014shND,0.00019aTg,0.0001EfPrb,,0.0001QDIM8,,0.0001dfh8,,0.0001tJO5,0.0002
2^-24,0.000000000000000000000001,0.00000000000000021200211101000021,0.000000000001,0.0000000000242334433142,,0.000000002256001501,0.00000001,0.0000000250741007,,0.0000001185A99AA,0.000000217669,0.00000039810111,,0.000000A2B6095,0.000001,0.00000177D6A3,,0.000002F55D09,0.000003G5HBB5,0.000005278G7K,,0.000008ILG1B,0.00000B99,0.00000EDJNGM,,0.00000N2D30L,,0.000016D508,,0.00001LRR88,0.00002,0.00002AW8G1,,0.000034JW85,,0.000044YE3C,,0.00005ESNNW,0.0000645P,0.00006b5AP,,0.00008WXS1,,0.0000AigJP,,0.0000DVN4D,0.0000F9,0.0000Gf0C1,,0.0000KSfh3,,0.0000On5Cc,,0.0000TsnBY,0.0000WkEn,0.0000ZnCtI,,0.0000ga9B4,,0.0000oKq4,,0.0000x9hY,0.0001
2^-25,0.0000000000000000000000001,0.00000000000000010211220200111122,0.0000000000002,0.0000000000121142214043,,0.000000001126334234,0.000000004,0.0000000124820448,,0.0000000642AA4AA,0.0000001099346,0.0000001B406707,,0.000000515A7C2,0.0000008,0.000000C3F351,,0.0000017C2G04,,0.000002BE483K,,0.0000049AJC5,0.000005GGC,0.0000076MBKN,,0.00000BEK1DO,,0.00000HL2EI,,0.00000QDT44,0.00001,0.000015G48,,0.00001JRG42,,0.000022H71O,,0.00002QXVBZ,0.0000322WK,0.00003IN5C,,0.00004GGZM,,0.00005ML9Z,,0.00006dBPU,0.00007SO,0.00008KOUP,,0.0000AEKl1,,0.0000COT6J,,0.0000Esq5i,0.0000GN7OS,0.0000Hr6Rb,,0.0000LI4Z2,,0.0000PAQ2,,0.0000TaLm,0.0000W
2^-26,0.00000000000000000000000001,0.000000000000000012202212112020221,0.0000000000001,0.0000000000033043332021,,0.000000000413152115,0.000000002,0.0000000056854668,,0.000000032155255,0.000000064A783,0.0000000C20336A,,0.000000282CB61,0.0000004,0.00000061G1B,,0.000000D61802,,0.0000015HCECA,,0.0000024GL62,0.000002K86,0.000003FNIAB,,0.000005KNE6P,,0.000008P179,,0.00000D6U22,0.00000G,0.00000J824,,0.00000RDPJI,,0.0000118M0U,,0.00001DGZ5b,0.00001L1GA,0.00001TW2Q,,0.0000288HW,,0.00002XX4e,,0.00003JTCc,0.00003cC,0.00004ACFC,,0.000057ANQ,,0.00006CETa,,0.00007RQ2n,0.00008BVeE,0.00008t3Dl,,0.0000AcVl1,,0.0000CZhV,,0.0000EngO,0.0000G
2^-27,0.000000000000000000000000001,0.00000000000000000221222102101011,0.00000000000002,0.0000000000014021413233,,0.000000000205061042,0.000000001,0.0000000027872334,,0.000000016628128,0.00000003253A16,0.00000006101835,,0.00000014165A8,0.0000002,0.00000030G958,,0.0000006CA401,,0.000000D8GHGF,,0.00000128AEC,0.000001A43,0.000001KBLHI,,0.000002NP73C,,0.000004CF3J,,0.000006IUGG,0.000008,0.000009KHIG,,0.00000DOCR9,,0.00000J4B0F,,0.00000Q8HMI,0.00000UKS5,0.00000ZG1D,,0.00001448b,,0.00001Gd2K,,0.00001XETg,0.00001h6,0.00002567U,,0.00002T5Bc,,0.0000367Ei,,0.00003fD1O,0.000045hm7,0.00004RU6q,,0.00005JFr,,0.00006HqF,,0.00007Oqh,0.00008
2^-28,0.0000000000000000000000000001,0.00000000000000000110222201012002,0.00000000000001,0.0000000000004233204114,,0.000000000102364021,0.0000000004,0.0000000013881162,,0.000000008869614,0.00000001727B09,0.00000003067419,,0.00000009832CB,0.0000001,0.00000018GD2C,,0.0000003652,,0.0000006EIJ87,,0.000000CFGIH,0.000000H21C,0.000000MIAL9,,0.000001BQ3F6,,0.00000267G9,,0.0000039F88,0.000004,0.000004QP98,,0.000006TNV4,,0.000009KO07,,0.00000D48US,,0.00000HSL6,,0.00000NNPe,,0.00000Ug1A,,0.00000e7Ei,0.00000jR,0.000012RSF,,0.00001ES5i,,0.00001TU7M,,0.00001m6SC,,0.00002DhVs,,0.00002d7u,,0.000038uc,,0.00003hvr,0.00004
2^-29,0.00000000000000000000000000001,0.00000000000000000020111100121001,0.000000000000002,0.0000000000002114102032,,0.00000000003453201,0.0000000002,0.0000000006440531,,0.000000004434862,,0.0000000169A20B,,0.00000004B9165,0.00000008,0.0000000CGF16,,0.0000001CC1,,0.0000003799EE,,0.00000067JKK,0.0000008D0I,0.000000B95AH,,0.000000JD1L3,,0.00000133MJ,,0.000001K7JJ,0.000002,0.000002DCL4,,0.000003ETFJ,,0.000004SUIM,,0.000006LNYX,,0.000008YV3,,0.00000BXCf,,0.00000FL0R,,0.00000K3Uj,0.00000MbO,0.00000PcE7,,0.00000WdSM,,0.00000fF3b,,0.00000pUfX,,0.000016oFt,,0.00001JXS,,0.00001Ywn,,0.00001rSw,0.00002
2^-30,0.000000000000000000000000000001,0.000000000000000000100202000220001,0.000000000000001,0.0000000000001032023241,,0.00000000001561434,0.0000000001,0.000000000322026,,0.000000002217986,,0.000000009B5105,,0.000000025C0AA,0.00000004,0.000000068793,,0.0000000FFA,,0.0000001E4F77,,0.00000033LAA,0.00000046C9,0.0000005H2HL,,0.0000009K0O1,,0.000000G1PO,,0.000000PJ9P,0.000001,0.0000016MR2,,0.000001OW7R,,0.000002EF9B,,0.000003AVHG,,0.000004HFM,,0.000005c6K,,0.000007X0D,,0.00000A1ck,0.00000BIa,0.00000ChVS,,0.00000GJda,,0.00000KY1j,,0.00000PgmG,,0.00000VraR,,0.00000dGhT,,0.00000lxt,,0.00000wET,0.00001
2^-31,0.0000000000000000000000000000001,0.000000000000000000011212111221112,0.0000000000000002,0.0000000000000241011343,,0.00000000000630552,0.00000000004,0.0000000001554574,,0.000000001109498,,0.000000004C2702,,0.000000012D7CC,0.00000002,0.0000000343D1,,0.00000007H5,,0.0000000HCI3E,,0.0000001DAGG,0.0000002364C,0.0000002L18N,,0.0000004NDPE,,0.00000080RC,,0.000000CP4S,0.000000G,0.000000JRU1,,0.000000TXLD,,0.00000177N5,,0.000001OZ8R,,0.0000028SB,,0.000002eOV,,0.000003d06,,0.0000050gk,0.000005XI,0.000006LeE,,0.0000089jI,,0.00000AH0n,,0.00000CmpZ,,0.00000FtID,,0.00000JbpE,,0.00000NyR,,0.00000T7E,0.00000W
2^-32,0.00000000000000000000000000000001,0.000000000000000000002102202110202,0.0000000000000001,0.0000000000000120230421,,0.000000000003136243,0.00000000002,0.0000000000726736,,0.0000000006047A4,,0.00000000261367,,0.000000008E3DD,0.00000001,0.00000001AA69,,0.00000003I299,,0.00000008GJC7,,0.0000000I588,0.00000011F26,0.0000001AD4B,,0.0000002BKCK,,0.00000040DK,,0.0000006CHT,0.0000008,0.0000009UF,,0.000000EYAO,,0.000000M3U2,,0.000000Vb4D,,0.0000014E5,,0.000001KCF,,0.000001g03,,0.000002Nik,0.000002eX,0.000003AiV,,0.0000044m9,,0.0000058Qp,,0.000006OPj,,0.000007u96,,0.000009mPa,,0.00000Byi,,0.00000EZ7,0.00000G
2^-33,0.000000000000000000000000000000001,0.000000000000000000001012212201212,0.00000000000000002,0.000000000000003234021,,0.000000000001416455,0.00000000001,0.0000000000357817,,0.0000000003023A7,,0.00000000130833,,0.00000000471E6,0.000000008,0.00000000DDBD,,0.00000001IAE4,,0.0000000489GE,,0.000000092FF,0.0000000CJD3,0.0000000HJ25,,0.00000015NJN,,0.000000206O,,0.000000368U,0.0000004,0.0000004VO,,0.0000007H5C,,0.000000B1XJ,,0.000000Fc26,,0.000000MRN,,0.000000VRT,,0.000000hMO,,0.000001Bjk,0.000001KGO,0.000001Tke,,0.0000022O4,,0.000002Udq,,0.000003CCo,,0.000003uX3,,0.000004rgI,,0.000005yq,,0.000007HZ,0.000008
2^-34,0.0000000000000000000000000000000001,0.000000000000000000000121102212102,0.00000000000000001,0.0000000000000013420102,,0.000000000000543226,0.000000000004,0.0000000000173853,,0.000000000156753,,0.00000000080418,,0.0000000023873,0.000000004,0.000000006F5F,,0.00000000IEGB,,0.0000000244IH,,0.00000004CJ7,,0.00000008M12,,0.0000000GBNB,,0.000000103C,,0.0000001IJU,0.0000002,0.0000002FSG,,0.0000003Q2N,,0.0000005JGS,,0.0000007cKM,,0.000000BDW,,0.000000FZE,,0.000000LXY,,0.000000TMk,0.000000Y8C,0.000000dNK,,0.0000011C2,,0.000001FJq,,0.000001XXq,,0.000001uj1,,0.000002Qoc,,0.000002yu,,0.000003eH,0.000004
2^-35,0.00000000000000000000000000000000001,0.000000000000000000000022012221012,0.000000000000000002,0.0000000000000004210023,,0.000000000000255113,0.000000000002,0.0000000000081871,,0.000000000083381,,0.0000000004020A,,0.0000000011BB1,0.000000002,0.0000000037B7,,0.000000009785,,0.000000012298,,0.0000000269F,,0.00000004B0D,,0.000000085P5,,0.0000000EG6,,0.0000000OPF,0.0000001,0.00000017UO,,0.0000001UIT,,0.0000002S8E,,0.0000003cTU,,0.0000005RG,,0.0000007d7,,0.000000AdH,,0.000000EYk,0.000000H46,0.000000JaA,,0.000000Q61,,0.000000Y9q,,0.000000iGr,,0.000000up,,0.000001DPJ,,0.000001US,,0.000001pe,0.000002
2^-36,0.000000000000000000000000000000000001,0.000000000000000000000011002222002,0.000000000000000001,0.0000000000000002102234,,0.000000000000126041,0.000000000001,0.000000000004088,,0.00000000004174,,0.00000000020105,,0.00000000085D,0.000000001,0.000000001C5C,,0.000000004D42,,0.00000000BBF4,,0.0000000134J,,0.000000025CJ,,0.000000042Q2,,0.0000000783,,0.0000000CCN,0.0000000G,0.0000000KFC,,0.0000000WQW,,0.0000001E47,,0.0000001cYF,,0.0000002Y8,,0.0000003f3,,0.0000005JV,,0.0000007HN,0.0000008Q3,0.0000009gT,,0.000000D3,,0.000000H4q,,0.000000M8Q,,0.000000SPS,,0.000000aCd,,0.000000ji,,0.000000vK,0.000001
