,Base 2,Base 3,Base 4,Base 5,Base 6,Base 7,Base 8,Base 9,Base 10,Base 11,Base 12,Base 13,Base 14,Base 15,Base 16,Base 17,Base 18,Base 19,Base 20,Base 21,Base 22,Base 23,Base 24,Base 25,Base 26,Base 27,Base 28,Base 29,Base 30,Base 31,Base 32,Base 33,Base 34,Base 35,Base 36,Base 37,Base 38,Base 39,Base 40,Base 41,Base 42,Base 43,Base 44,Base 45,Base 46,Base 47,Base 48,Base 49,Base 50,Base 51,Base 52,Base 53,Base 54,Base 55,Base 56,Base 57,Base 58,Base 59,Base 60,Base 61,Base 62,Base 63,Base 64
2^-47,0.00000000000000000000000000000000000000000000001,0.00000000000000000000000000000111,0.000000000000000000000002,0.0000000000000000000031,,0.000000000000000014,0.0000000000000002,0.0000000000000014,,0.000000000000027,,0.00000000000021,,0.000000000000D,0.000000000002,0.000000000004,,0.00000000000F,,0.00000000002A,,0.00000000006,,0.0000000000G,,0.0000000001C,,0.0000000002,,0.0000000005,0.0000000008,0.000000000A,,0.000000000J,,0.000000000Y,,0.000000001I,,0.000000002,,0.000000003,,0.000000005,,0.000000007,,0.00000000B,,0.00000000G,,0.00000000N,,0.00000000W,,0.00000000j,,0.000000012,,0.00000001,,0.00000001,0.00000002
2^-48,0.000000000000000000000000000000000000000000000001,0.000000000000000000000000000000201,0.000000000000000000000001,0.0000000000000000000013,,0.000000000000000005,0.0000000000000001,0.0000000000000006,,0.000000000000013,,0.0000000000001,,0.0000000000006,0.000000000001,0.000000000002,,0.000000000007,,0.000000000015,,0.00000000003,,0.00000000008,,0.0000000000J,,0.0000000001,,0.0000000002,0.0000000004,0.0000000005,,0.0000000009,,0.000000000H,,0.000000000S,,0.000000001,,0.000000001,,0.000000002,,0.000000003,,0.000000005,,0.000000008,,0.00000000B,,0.00000000G,,0.00000000M,,0.00000000U,,,,,0.00000001
2^-49,0.0000000000000000000000000000000000000000000000001,0.0000000000000000000000000000001,0.0000000000000000000000002,0.0000000000000000000004,,0.000000000000000002,0.00000000000000004,0.0000000000000003,,0.000000000000007,,0.00000000000006,,0.0000000000003,0.0000000000008,0.000000000001,,0.000000000003,,0.00000000000D,,0.00000000001,,0.00000000004,,0.00000000009,,,,0.0000000001,0.0000000002,0.0000000002,,0.0000000004,,0.0000000008,,0.000000000E,,,,,,0.000000001,,0.000000001,,0.000000002,,0.000000004,,0.000000005,,0.000000008,,0.00000000B,,0.00000000F,,,,,
2^-50,0.00000000000000000000000000000000000000000000000001,0.000000000000000000000000000000011,0.0000000000000000000000001,0.0000000000000000000002,,0.000000000000000001,0.00000000000000002,0.0000000000000001,,0.000000000000003,,0.00000000000003,,0.0000000000001,0.0000000000004,,,0.000000000001,,0.000000000006,,,,0.00000000002,,0.00000000004,,,,,0.0000000001,0.0000000001,,0.0000000002,,0.0000000004,,0.0000000007,,,,,,,,,,0.000000001,,0.000000002,,0.000000002,,0.000000004,,0.000000005,,0.000000007,,,,,
2^-51,0.000000000000000000000000000000000000000000000000001,0.000000000000000000000000000000002,0.00000000000000000000000002,0.0000000000000000000001,,,0.00000000000000001,,,0.000000000000001,,0.00000000000001,,,0.0000000000002,,,,,0.000000000003,,,,0.00000000001,,0.00000000002,,,,,,,,0.0000000001,,0.0000000002,,0.0000000003,,,,,,,,,,,,0.000000001,,0.000000001,,0.000000002,,0.000000002,,0.000000003,,,,,
2^-52,0.0000000000000000000000000000000000000000000000000001,0.000000000000000000000000000000001,0.00000000000000000000000001,,,,,,,,,,,,0.0000000000001,,,,,0.000000000001,,,,,,0.00000000001,,,,,,,,,,0.0000000001,,0.0000000001,,,,,,,,,,,,,,,,0.000000001,,0.000000001,,0.000000001,,,,,
2^-53,0.00000000000000000000000000000000000000000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2^-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
