,="1/2",="1/3",="1/4",="1/5",="1/6",="1/7",="1/8",="1/9",="1/10",="1/11",="1/12",="1/13",="1/14",="1/15",="1/16",="1/17",="1/18",="1/19",="1/20",="1/21",="1/22",="1/23",="1/24",="1/25",="1/26",="1/27",="1/28",="1/29",="1/30",="1/31",="1/32",="1/33",="1/34",="1/35",="1/36",="1/37",="1/38",="1/39",="1/40",="1/41",="1/42",="1/43",="1/44",="1/45",="1/46",="1/47",="1/48",="1/49",="1/50",="1/51",="1/52",="1/53",="1/54",="1/55",="1/56",="1/57",="1/58",="1/59",="1/60",="1/61",="1/62",="1/63",="1/64"
="Base 12",="0.6",="0.4",="0.3",="0.24972497249724",="0.2",="0.186A35186A3518",="0.16",="0.14",="0.12497249724972",="0.11111111111111",="0.1",="0.0B0B0B0B0B0B0B",="0.0A35186A35186A",="0.09724972497249",="0.09",="0.08579214B36429",="0.08",="0.076B45076B4507",="0.07249724972497",="0.06A35186A35186",="0.06666666666666",="0.06316948421063",="0.06",="0.05915343A0B62A",="0.05656565656565",="0.054",="0.05186A35186A35",="0.04B704B704B704",="0.04972497249724",="0.0478AA09359816",="0.046",="0.04444444444444",="0.0429A708579214",="0.0414559B393104",="0.04",="0.03A85232B03A85",="0.03958263958263",="0.03838383838383",="0.03724972497249",="0.036190A6532773",="0.035186A35186A3",="0.0342295A3AA73",="0.03333333333333",="0.03249724972497",="0.03169484210631",="0.0309236A882061",="0.03",="0.02B322547A05A6",="0.02A68781B05915",="0.029A708579214B",="0.02929292929292",="0.02872B3A232055",="0.028",="0.02750275027502",="0.026A35186A3518",="0.02639582639582",="0.02596259625962",="0.025355A9433073",="0.02497249724972",="0.0243B2683192B4",="0.023A550478AA09",="0.0235186A35186A",="0.023"
="Base 13",="0.66666666666666",="0.44444444444444",="0.33333333333333",="0.27A527A527A527",="0.22222222222222",="0.1B1B1B1B1B1B1B",="0.18181818181818",="0.15A15A15A15A15",="0.13B913B913B913",="0.12495BA8371249",="0.11111111111111",="0.1",="0.0C0C0C0C0C0C0C",="0.0B360B360B360B",="0.0A740A740A740A",="0.09C309C309C309",="0.09509509509509",="0.08B82976AC414A",="0.085B085B085B08",="0.08080808080808",="0.078B2C541A078B",="0.0746A235119074",="0.07070707070707",="0.069B5948ABC631",="0.06666666666666",="0.0634A791C0634A",="0.06060606060606",="0.05A9B28C7231A4",="0.05830583058305",="0.055B42692C2134",="0.05386BA205386B",="0.051763C29B0517",="0.04C804C804C804",="0.04AA04AA04AA04",="0.04904904904904",="0.0474BC3B321536",="0.045A7B39BC8725",="0.04444444444444",="0.042C042C042C04",="0.04177C08322B13",="0.04040404040404",="0.03C1294AB646C5",="0.03AC16287503AC",="0.039A8C56481203",="0.0389B78270B038",="0.03798B0AA30726",="0.036A036A036A03",="0.035AB53C972179",="0.034C2B2455C98",="0.03410341034103",="0.03333333333333",="0.0325B6B38AA3C",="0.0318BA4760318B",="0.030C3A21868061",="0.03030303030303",="0.02C70BB2385917",="0.02BB57ACA11752",="0.02B31142567C17",="0.02A802A802A802",="0.02A02A02A02A02",="0.0295879B161082",="0.028B47028B4702",="0.028435B7691A9C"
="Base 14",="0.7",="0.4949494949494",="0.37",="0.2B2B2B2B2B2B2",="0.2494949494949",="0.2",="0.1A7",="0.17AC6317AC631",="0.1585858585858",="0.13B6513B6513B",="0.1249494949494",="0.1111111111111",="0.1",="0.0D0D0D0D0D0D",="0.0C37",="0.0B75A9C4D2683",="0.0AC6317AC6317",="0.0A45C7522D398",="0.09B2B2B2B2B2B",="0.0949494949494",="0.08CA278CA278C",="0.0874391B7CAD5",="0.0824949494949",="0.07BA8D623507B",="0.0777777777777",="0.0738B59BCD6A5",="0.07",="0.06A89925B163C",="0.0676767676767",="0.0647323881B4",="0.061A7",="0.05D219A86B05D",="0.05A9C4D268341",="0.0585858585858",="0.056317AC6317A",="0.05423AD89BA3",="0.0522D398168BB",="0.050505050505",="0.04C8585858585",="0.04ACD93104ACD",="0.0494949494949",="0.047B576BA1433",="0.046513B6513B6",="0.044D99044D99",="0.04391B7CAD569",="0.042550C721297",="0.0412494949494",="0.03DD000DD000D",="0.03CC46A11973C",="0.03BB37D6456C1",="0.03AAAAAAAAAAA",="0.039AB8A075793",="0.038B59BCD6A52",="0.037C689241037",="0.037",="0.0361D71A0DA7C",="0.03544B82C7A1D",="0.03471937B8ACB",="0.033A3A3A3A3A3",="0.032DAB032DAB",="0.0323881B40C9",="0.0317AC6317AC6",="0.030C37"
="Base 15",="0.7777777777777",="0.5",="0.3B3B3B3B3B3B3",="0.3",="0.2777777777777",="0.2222222222222",="0.1D1D1D1D1D1D1",="0.1A",="0.1777777777777",="0.156C4156C4156",="0.13B3B3B3B3B3B",="0.124936DCA5B81",="0.1111111111111",="0.1",="0.0E0E0E0E0E0E",="0.0D37E1B70D37E",="0.0C77777777777",="0.0BC9718A3E325",="0.0B3B3B3B3B3B3",="0.0AAAAAAAAAAAA",="0.0A3620A3620A3",="0.09BB1487291E5",="0.0959595959595",="0.09",="0.089C1AE652D4",="0.085",="0.080808080808",="0.07B5A528BD6AC",="0.0777777777777",="0.073D0E7B1E073",="0.070707070707",="0.06C4156C4156C",="0.0693E85B0693E",="0.0666666666666",="0.063B3B3B3B3B3",="0.061339AE2C87A",="0.05DC38451E912",="0.05B8124936DCA",="0.0595959595959",="0.0574B51C68BA9",="0.0555555555555",="0.05374D3C858AC",="0.051A87C931051",="0.05",="0.04D582438C0EA",="0.04BC1DACB7518",="0.04A4A4A4A4A4A",="0.048D26B048D26",="0.0477777777777",="0.04629A8C54629",="0.044D857328E2",="0.043A2C6BD47DD",="0.0427777777777",="0.04156C4156C41",="0.040404040404",="0.03E3257D64B0B",="0.03D2CA145E356",="0.03C30B69244C6",="0.03B3B3B3B3B3B",="0.03A4DB856232E",="0.03967EB587039",="0.0388888888888",="0.037B037B037B"
="Base 16",="0.8",="0.5555555555555",="0.4",="0.3333333333333",="0.2AAAAAAAAAAAA",="0.2492492492492",="0.2",="0.1C71C71C71C71",="0.1999999999999",="0.1745D1745D174",="0.1555555555555",="0.13B13B13B13B1",="0.1249249249249",="0.1111111111111",="0.1",="0.0F0F0F0F0F0F",="0.0E38E38E38E38",="0.0D79435E50D79",="0.0CCCCCCCCCCCC",="0.0C30C30C30C3",="0.0BA2E8BA2E8BA",="0.0B21642C8590B",="0.0AAAAAAAAAAAA",="0.0A3D70A3D70A3",="0.09D89D89D89D8",="0.097B425ED097B",="0.0924924924924",="0.08D3DCB08D3DC",="0.0888888888888",="0.0842108421084",="0.08",="0.07C1F07C1F07C",="0.0787878787878",="0.075075075075",="0.071C71C71C71C",="0.06EB3E45306EB",="0.06BCA1AF286BC",="0.069069069069",="0.0666666666666",="0.063E7063E7063",="0.0618618618618",="0.05F417D05F417",="0.05D1745D1745D",="0.05B05B05B05B",="0.0590B21642C85",="0.0572620AE4C41",="0.0555555555555",="0.05397829CBC14",="0.051EB851EB851",="0.050505050505",="0.04EC4EC4EC4EC",="0.04D4873ECADE3",="0.04BDA12F684BD",="0.04A7904A7904A",="0.0492492492492",="0.047DC11F7047D",="0.0469EE58469EE",="0.0456C797DD49C",="0.0444444444444",="0.04325C53EF368",="0.0421084210842",="0.041041041041",="0.04"
="Base 17",="0.888888888888",="0.5B5B5B5B5B5B",="0.444444444444",="0.36DA36DA36DA",="0.2E2E2E2E2E2E",="0.274E9C274E9C",="0.222222222222",="0.1F1F1F1F1F1F",="0.1BF51BF51BF5",="0.194ADF7C6319",="0.171717171717",="0.153FBD153FBD",="0.13AFD613AFD6",="0.124912491249",="0.111111111111",="0.1",="0.0G0G0G0G0G0G",="0.0F39E56480F3",="0.0E7B0E7B0E7B",="0.0DCG340DCG34",="0.0D256G3EBA0D",="0.0C9A5F8ED52G",="0.0C0C0C0C0C0C",="0.0B98E4CFAEG5",="0.0B1G5F0B1G5F",="0.0ABG650ABG65",="0.0A57F30A57F3",="0.09G709G709G7",="0.09AD09AD09AD",="0.09583E469EDC",="0.090909090909",="0.08CEFG842108",="0.088888888888",="0.084655E17D1G",="0.080808080808",="0.07DD58C6F2CE",="0.07A4FB32407A",="0.076G9A076G9A",="0.073E073E073E",="0.070E1B356AD4",="0.06EGA206EGA2",="0.06C45FDE3G39",="0.069B381FE506",="0.067306730673",="0.064DB7CFF29G",="0.06290C5117A2",="0.060606060606",="0.05F48B7ACE3D",="0.05D47267DFGB",="0.05B5B5B5B5B5",="0.05982G05982G",="0.057BECE1FC33",="0.055GBB055GBB",="0.054599F280A8",="0.052C7A052C7A",="0.05134D2185G6",="0.04GC04GC04GC",="0.04F4A65CG737",="0.04DF04DF04DF",="0.04C935E8623F",="0.04B41FABD76E",="0.049GC7049GC7",="0.048D048D048D"
="Base 18",="0.9",="0.6",="0.49",="0.3AE73AE73AE7",="0.3",="0.2A52A52A52A5",="0.249",="0.2",="0.1E73AE73AE73",="0.1B834G69ED1B",="0.19",="0.16GB16GB16GB",="0.152A52A52A52",="0.13AE73AE73AE",="0.1249",="0.111111111111",="0.1",="0.0H0H0H0H0H0H",="0.0G3AE73AE73A",="0.0F7CF7CF7CF7",="0.0ED1B834G69E",="0.0E1A3264C97",="0.0D9",="0.0CH50CH50CH5",="0.0C859C859C85",="0.0C",="0.0BA52A52A52A",="0.0B31F95A9GDB",="0.0AE73AE73AE7",="0.0A825E95412G",="0.0A249",="0.09ED1B834G69",="0.099999999999",="0.094B5BEG8421",="0.09",="0.08DB37565F18",="0.089898989898",="0.0859C859C859",="0.081E73AE73AE",="0.07G4707G4707",="0.07CF7CF7CF7C",="0.079B57H2GD72",="0.0769ED1B834G",="0.073AE73AE73A",="0.070E1A3264C9",="0.06G19A625693",="0.06D9",="0.06B06B06B06B",="0.068B968B968B",="0.066666666666",="0.0642DF42DF42",="0.0620C41682CG",="0.06",="0.05G0BE15A2B2",="0.05E2A52A52A5",="0.05C5C5C5C5C5",="0.05A9GDBE4H6E",="0.058F4A6CEBAC",="0.0573AE73AE73",="0.055AG97H76E2",="0.05412G4BB0A8",="0.052A52A52A52",="0.051249"
="Base 19",="0.999999999999",="0.666666666666",="0.4E4E4E4E4E4E",="0.3F3F3F3F3F3F",="0.333333333333",="0.2DAG582DAG58",="0.272727272727",="0.222222222222",="0.1H1H1H1H1H1H",="0.1DFA6H538C1D",="0.1B1B1B1B1B1B",="0.18EBD2HA475G",="0.16EHC416EHC4",="0.151515151515",="0.13AD13AD13AD",="0.1248HGEA1248",="0.111111111111",="0.1",="0.0I0I0I0I0I0I",="0.0H3BE90H3BE9",="0.0G7ECI2B460G",="0.0FD4291C784I",="0.0F0F0F0F0F0F",="0.0E86FI4AC30E",="0.0DGF6AI523C8",="0.0D70D70D70D7",="0.0CGI620CGI62",="0.0C89FDE7G73H",="0.0C0C0C0C0C0C",="0.0BC4H31459F6",="0.0B56A1EG0B56",="0.0AHG25E7940A",="0.0ABDI8750ABD",="0.0A5I8D0A5I8D",="0.0A0A0A0A0A0A",="0.09E73B5C631A",="0.099999999999",="0.094GADC37F1I",="0.090909090909",="0.08F5AC9DH2EF",="0.08B5GE08B5GE",="0.0879DD4G6BHC",="0.083GFIAF2308",="0.080808080808",="0.07G214A63DBI",="0.07CHEI3C281B",="0.079H079H079H",="0.076IBC076IBC",="0.07437IBEFB07",="0.07195I4G0719",="0.06HH3592AB64",="0.06F7GG29CH3H",="0.06D06D06D06D",="0.06AD8IC85A06",="0.068931068931",="0.066666666666",="0.0644H6GD83B8",="0.0624FEF8D3G8",="0.060606060606",="0.05H87EI14CEC",="0.05FBI1A22E7C",="0.05DGB305DGB3",="0.05C350GH9F2C"
="Base 20",="0.A",="0.6D6D6D6D6D6D",="0.5",="0.4",="0.36D6D6D6D6D6",="0.2H2H2H2H2H2H",="0.2A",="0.248HFB248HFB",="0.2",="0.1G7591G7591G",="0.1D6D6D6D6D6D",="0.1AF7DGI94C63",="0.18B8B8B8B8B8",="0.16D6D6D6D6D6",="0.15",="0.13ABF5HCIG98",="0.1248HFB248HF",="0.111111111111",="0.1",="0.0J0J0J0J0J0J",="0.0I3CEAI3CEAI",="0.0H7GA8DI546J",="0.0GD6D6D6D6D6",="0.0G",="0.0F7DGI94C631",="0.0EG5IA782J53",="0.0E5E5E5E5E5E",="0.0DFH4GB0DFH4",="0.0D6D6D6D6D6D",="0.0CI15G2BC534",="0.0CA",="0.0C289DIFF30C",="0.0BF5HCIG984E",="0.0B8B8B8B8B8B",="0.0B248HFB248H",="0.0AG469EBHGF2",="0.0AAAAAAAAAAA",="0.0A52B5CG8421",="0.0A",="0.09F28FC3I0JA",="0.09A9A9A9A9A9",="0.0960IC1H43E8",="0.091G7591G759",="0.08HFB248HFB2",="0.08DI546J2C39",="0.08A4522B15AC",="0.086D6D6D6D6D",="0.0835628JBGED",="0.08",="0.07GH51J4659G",="0.07DGI94C631A",="0.07AIH737I9G4",="0.0782J53E19CB",="0.07591G7591G7",="0.072H2H2H2H2H",="0.070707070707",="0.06HIC85A6HIC",="0.06FBH5F51DHJ",="0.06D6D6D6D6D6",="0.06B2J06B2J06",="0.0690CI15G2BC",="0.066JDD066JDD",="0.065"
="Base 21",="0.AAAAAAAAAAAA",="0.7",="0.555555555555",="0.444444444444",="0.3AAAAAAAAAAA",="0.3",="0.2D2D2D2D2D2D",="0.27",="0.222222222222",="0.1J1J1J1J1J1J",="0.1FFFFFFFFFFF",="0.1CJ81CJ81CJ8",="0.1AAAAAAAAAAA",="0.188888888888",="0.16BH16BH16BH",="0.14JG14JG14JG",="0.13AAAAAAAAAA",="0.1248HE7F9JIG",="0.111111111111",="0.1",="0.0K0K0K0K0K0K",="0.0J3DECG92FAK",="0.0I7I7I7I7I7I",="0.0HD950HD950H",="0.0GK40GK40GK4",="0.0G7",="0.0FFFFFFFFFFF",="0.0F475198EA2I",="0.0EEEEEEEEEEE",="0.0E4FC4179A38",="0.0DG8B35J0DG8",="0.0D7D7D7D7D7D",="0.0CK80CK80CK8",="0.0CCCCCCCCCCC",="0.0C5555555555",="0.0BJ6525E3K91",="0.0BCEJ73I4K98",="0.0B69EB69EB69",="0.0B0B0B0B0B0B",="0.0AFI94CGIJKA",="0.0AAAAAAAAAAA",="0.0A57H1K0A57H",="0.0A0A0A0A0A0A",="0.09GGGGGGGGGG",="0.09C6HGIF17FK",="0.0980IG1GB3C1",="0.093JE93JE93J",="0.09KK0K0KK0K",="0.08H4D08H4D08",="0.08DC78DC78DC",="0.08A208A208A2",="0.086F9AEDI4FH",="0.083AAAAAAAAA",="0.080808080808",="0.07I7I7I7I7I7",="0.07F9JIGC36D5",="0.07CE2B4EHFBJ",="0.079K6118II34",="0.077777777777",="0.074H49KDG3GB",="0.0727GCB3F51E",="0.07",="0.06IEG1D9AH84"
="Base 22",="0.B",="0.77777777777",="0.5B",="0.48HD48HD48H",="0.3EEEEEEEEEE",="0.33333333333",="0.2GB",="0.29H29H29H29",="0.248HD48HD48",="0.2",="0.1I777777777",="0.1F51F51F51F",="0.1CCCCCCCCCC",="0.1A5J1A5J1A5",="0.185B",="0.16A7GI2CKFB",="0.14JC4JC4JC4",="0.13A95H826KI",="0.1248HD48HD4",="0.11111111111",="0.1",="0.0L0L0L0L0L",="0.0K3EEEEEEEE",="0.0J7K563B9EL",="0.0IDBIDBIDBI",="0.0HK835FAD0H",="0.0H666666666",="0.0GF3H9IL56I",="0.0G2KBG2KBG2",="0.0FDAE45EJJ3",="0.0F2GB",="0.0EEEEEEEEEE",="0.0E53J916A7G",="0.0DI50DI50DI",="0.0D9H29H29H2",="0.0D1H57G143C",="0.0CG4DJF13A9",="0.0C90C90C90C",="0.0C248HD48HD",="0.0BHFC7B5JIH",="0.0BBBBBBBBBB",="0.0B5DHJKLAG8",="0.0B",="0.0AGDF3967I1",="0.0ABABABABAB",="0.0A6C3G897L1",="0.0A1I7777777",="0.09J6G3D09J6",="0.09EL2E1GFIA",="0.09AH5D846JI",="0.096GK6GK6GK",="0.092JK7A86E2",="0.08L41DIG6B8",="0.08HD48HD48H",="0.08E33333333",="0.08AHGD2F9E6",="0.087CJFKADE9",="0.084A9F67A1A",="0.081A5J1A5J1",="0.07KC5GKK474",="0.07HG722I9KC",="0.07F07F07F07",="0.07C85B"
="Base 23",="0.BBBBBBBBBBB",="0.7F7F7F7F7F7",="0.5H5H5H5H5H5",="0.4DI94DI94DI",="0.3J3J3J3J3J3",="0.36D36D36D36",="0.2K2K2K2K2K2",="0.2CHKA52CHKA",="0.26KG26KG26K",="0.22222222222",="0.1L1L1L1L1L1",="0.1HFL571HFL5",="0.1EI1EI1EI1E",="0.1C631C631C6",="0.1A1A1A1A1A1",="0.182G59AILEK",="0.168LGE168LG",="0.14J8AKD7614",="0.13A813A813A",="0.1248HC1248H",="0.11111111111",="0.1",="0.0M0M0M0M0M",="0.0L3FEGCK5BM",="0.0K7M2F0K7M2",="0.0JDEB1G45M3",="0.0IKC790IKC7",="0.0I5CFJJ0I5C",="0.0HED0HED0HE",="0.0H1B2M5LBK",="0.0GC50GC50GC",="0.0G0G0G0G0G",="0.0FCJE4GKM7A",="0.0F2EABJ1755",="0.0EFM870EFM8",="0.0E6J64M8G3G",="0.0DL45A6F30D",="0.0DCM9A0DCM9",="0.0D540D540D5",="0.0CKH8MA25E",="0.0CDFK60CDFK",="0.0C6LL9234IG",="0.0C0C0C0C0C",="0.0BH8FJ9G842",="0.0BBBBBBBBBB",="0.0B5K1AHE496",="0.0B0B0B0B0B",="0.0AI70LDE1K4",="0.0AD7IJHLE5M",="0.0A8D1IB674M",="0.0A3MCJ0A3MC",="0.09MD09MD09M",="0.09I75C822MD",="0.09E509E509E",="0.09A63G09A63",="0.096AB6JHH81",="0.092HJ9L092H",="0.08M51CJK65A",="0.08II08II08I",="0.08FACIJDLJM",="0.08C5CMEAHA",="0.0892L40892L",="0.0862BJHE086"
="Base 24",="0.C",="0.8",="0.6",="0.4J4J4J4J4J4",="0.4",="0.3A6KDH3A6KD",="0.3",="0.2G",="0.29E9E9E9E9E",="0.248HALJF6D2",="0.2",="0.1K795CM3GEI",="0.1H3A6KDH3A6",="0.1E9E9E9E9E9",="0.1C",="0.19L45FCGME2",="0.18",="0.167DLB8K516",="0.14J4J4J4J4J",="0.13A6KDH3A6K",="0.1248HALJF6D",="0.11111111111",="0.1",="0.0N0N0N0N0N",="0.0M3GEIB1K79",="0.0L8",="0.0KDH3A6KDH3",="0.0JKGD5J0JKG",="0.0J4J4J4J4J4",="0.0IDMAK327HJ",="0.0I",="0.0HALJF6D248",="0.0GME2JI8B71",="0.0GAN7D0GAN7",="0.0G",="0.0FDEM1735K2",="0.0F3IMHGA2CF",="0.0EIB1K795CM",="0.0E9E9E9E9E9",="0.0E14284G98I",="0.0DH3A6KDH3A",="0.0D9BH76388M",="0.0D248HALJF6",="0.0CJ4J4J4J4J",="0.0CCCCCCCCCC",="0.0C631CI94E7",="0.0C",="0.0BI2MCHF49J",="0.0BCBCBCBCBC",="0.0B719L45FCG",="0.0B1K795CM3G",="0.0AKJM4CG75L",="0.0AG",="0.0AB86NDCFH",="0.0A6KDH3A6KD",="0.0A2CF3IMHGA",="0.09M86ELC9M8",="0.09I77HBJ2K8",="0.09E9E9E9E9E",="0.09AEMJG33CN",="0.096N5A1D3KL",="0.093A6KDH3A6",="0.09"
="Base 25",="0.CCCCCCCCCCC",="0.88888888888",="0.66666666666",="0.5",="0.44444444444",="0.3E73E73E73E",="0.33333333333",="0.2JB2JB2JB2J",="0.2CCCCCCCCCC",="0.26KB926KB92",="0.22222222222",="0.1N1N1N1N1N1",="0.1JG1JG1JG1J",="0.1GGGGGGGGGG",="0.1E1E1E1E1E1",="0.1BJ2ND5M1BJ",="0.19I19I19I19",="0.17M956EBL17",="0.16666666666",="0.14J14J14J14",="0.13A5H13A5H1",="0.1248H9JE36D",="0.11111111111",="0.1",="0.0O0O0O0O0O",="0.0N3HEK96C0N",="0.0M80M80M80M",="0.0LDJKH60LDJ",="0.0KKKKKKKKKK",="0.0K40K40K40K",="0.0JD70JD70JD",="0.0INC30INC3",="0.0I9DO6FB0I9",="0.0HLAHLAHLAH",="0.0H90H90H90H",="0.0GM7AK6IMO8",="0.0GB4F375N0G",="0.0G0G0G0G0G",="0.0FFFFFFFFFF",="0.0F62AO9IME",="0.0EM0EM0EM0E",="0.0ED97DNKN69",="0.0E52L0E52L",="0.0DM5DM5DM5D",="0.0DEGL4M71FJ",="0.0D7B469E911",="0.0D0D0D0D0D",="0.0CILNBI94EJ",="0.0CCCCCCCCCC",="0.0C697L1O0C6",="0.0C0C0C0C0C",="0.0BJK71M4637",="0.0BE8JMH360B",="0.0B926KB926K",="0.0B40B40B40B",="0.0AO31ILC70A",="0.0AJ9ML30AJ9",="0.0AEKJ1H9816",="0.0AAAAAAAAAA",="0.0A63H584MNJ",="0.0A20A20A20A",="0.09N09N09N09",="0.09J3CM6G09J"
="Base 26",="0.D",="0.8H8H8H8H8H8",="0.6D",="0.55555555555",="0.48H8H8H8H8H",="0.3IEM7B3IEM7",="0.36D",="0.2N2N2N2N2N2",="0.2FFFFFFFFFF",="0.29BL729BL72",="0.248H8H8H8H8",="0.2",="0.1M7B3IEM7B3",="0.1J1J1J1J1J1",="0.1G6D",="0.1DJMOC631DJ",="0.1BEBEBEBEBE",="0.19F19F19F19",="0.17KKKKKKKKK",="0.164OJL164OJ",="0.14INGE4INGE",="0.13A4DEI26K9",="0.1248H8H8H8H",="0.11111111111",="0.1",="0.0P0P0P0P0P",="0.0O3IEM7B3IE",="0.0N81KG3F674",="0.0MDMDMDMDMD",="0.0LKP450LKP4",="0.0L36D",="0.0KCFJI33OB",="0.0JMOC631DJM",="0.0J84BN0J84B",="0.0IK5K5K5K5K",="0.0I70I70I70I",="0.0HKDHKDHKDH",="0.0H8H8H8H8H8",="0.0GNAAAAAAAA",="0.0GCHJH34BAK",="0.0G2C9NDG2C9",="0.0FIJ91L4615",="0.0F9BL729BL7",="0.0F0F0F0F0F",="0.0EI26K913A4",="0.0E9ON625DLE",="0.0E248H8H8H8",="0.0DKI11FA234",="0.0DDDDDDDDDD",="0.0D6G84210D6",="0.0D",="0.0CJG4NE5N1C",="0.0CDCDCDCDCD",="0.0C7EH0C7EH",="0.0C1M7B3IEM7",="0.0BM9350BM93",="0.0BH0N81KG3F",="0.0BBN96FMC8L",="0.0B6O6O6O6O6",="0.0B23AH176A5",="0.0ANCF2DANCF",="0.0AIPF70AIPF",="0.0AEG6D"
="Base 27",="0.DDDDDDDDDDD",="0.9",="0.6K6K6K6K6K6",="0.5ALG5ALG5AL",="0.4DDDDDDDDDD",="0.3N3N3N3N3N3",="0.3A3A3A3A3A3",="0.3",="0.2IO82IO82IO",="0.2C79M2C79M2",="0.26K6K6K6K6K",="0.22222222222",="0.1P1P1P1P1P1",="0.1LG5ALG5ALG",="0.1IF51IF51IF",="0.1FNM69E7PB3",="0.1DDDDDDDDDD",="0.1B9PFH1B9PF",="0.19C419C419C",="0.17J7J7J7J7J",="0.163IB163IB1",="0.14IL3E29AF7",="0.13A3A3A3A3A",="0.1248H7F36CP",="0.11111111111",="0.1",="0.0Q0Q0Q0Q0Q",="0.0P3JEO5FM98",="0.0O82IO82IO8",="0.0NDP6Q3D1K",="0.0ML2E97G0ML",="0.0M2C79M2C79",="0.0LBOGI73Q5F",="0.0KMA0KMA0KM",="0.0K6K6K6K6K6",="0.0JIQ780JIQ7",="0.0J4Q7M0J4Q7",="0.0IIIIIIIIII",="0.0I620I620I6",="0.0HL1Q95P0HL",="0.0H9H9H9H9H9",="0.0GPK2DLQA16",="0.0GF95E31MJ",="0.0G5ALG5ALG5",="0.0FMO1KEI57H",="0.0FDL6O3C1JE",="0.0F51IF51IF5",="0.0ENIJMFQC38",="0.0EFHM3L1GJQ",="0.0E7PB34KHCJ",="0.0E0E0E0E0E",="0.0DKA52EKNPC",="0.0DDDDDDDDDD",="0.0D6NF5O1CKG",="0.0D0D0D0D0D",="0.0CL8E5ICL8E",="0.0CF9KPG7OI4",="0.0C9GCLQ27L1",="0.0C419C419C4",="0.0BPI3QF18N",="0.0BKCGQF6EA",="0.0BFBFBFBFBF",="0.0BAEKI3LDOO"
="Base 28",="0.E",="0.99999999999",="0.7",="0.5GMB5GMB5GM",="0.4IIIIIIIIII",="0.4",="0.3E",="0.33333333333",="0.2MB5GMB5GMB",="0.2F7HMPCKA52",="0.29999999999",="0.248H6CPNJAL",="0.2",="0.1O7D1O7D1O7",="0.1L",="0.1I386GD4Q9O",="0.1FFFFFFFFFF",="0.1D7A8NG5P1D",="0.1B5GMB5GMB5",="0.19999999999",="0.17HMPCKA52F",="0.162C4O9KJDA",="0.14IIIIIIIII",="0.13A26K4DC8Q",="0.1248H6CPNJA",="0.11111111111",="0.1",="0.0R0R0R0R0R",="0.0Q3KEQ3KEQ3",="0.0P83H4ECI1M",="0.0OE",="0.0NL5Q8DG3B",="0.0N1I386GD4Q",="0.0MB5GMB5GMB",="0.0LLLLLLLLLL",="0.0L58927FOR6",="0.0KHJ4BM2QEK",="0.0K2OBDHQFM7",="0.0JGMB5GMB5G",="0.0J3BH21A6N6",="0.0IIIIIIIIII",="0.0I6E9374FHG",="0.0HMPCKA52F7",="0.0HBN0HBN0HB",="0.0H162C4O9KJ",="0.0GJ1M15A3G2",="0.0G999999999",="0.0FRR000RR",="0.0FJ13A26K4D",="0.0FAC25DK8LQ",="0.0F248H6CPNJ",="0.0EM57PON6O8",="0.0EEEEEEEEEE",="0.0E73FLOQD6H",="0.0E",="0.0DL3C7O1R0D",="0.0DEDEDEDEDE",="0.0D81P47GH2A",="0.0D1O7D1O7D1",="0.0CNO951AFGR",="0.0CI1MG7690P",="0.0CCCCCCCCCC",="0.0C7"
="Base 29",="0.EEEEEEEEEE",="0.9J9J9J9J9J",="0.7777777777",="0.5N5N5N5N5N",="0.4O4O4O4O4O",="0.4444444444",="0.3I3I3I3I3I",="0.36CPMG36CP",="0.2Q2Q2Q2Q2Q",="0.2ID57QAFNL",="0.2C2C2C2C2C",="0.26K26K26K2",="0.2222222222",="0.1R1R1R1R1R",="0.1NG91NG91N",="0.1KDIM53BR8",="0.1HKRB81HKR",="0.1F7I94GMPR",="0.1D1D1D1D1D",="0.1B1B1B1B1B",="0.196H3RJMBP",="0.17GBA2F3MK",="0.1616161616",="0.14IG6ROACM",="0.13A13A13A1",="0.1248H5ALDR",="0.1111111111",="0.1",="0.0S0S0S0S0S",="0.0R3LES1P7E",="0.0Q84FBMJ0Q",="0.0PE1LS3ER7",="0.0OL9B2G5S4",="0.0O0O0O0O0O",="0.0NADK40NAD",="0.0ML4KAS67O",="0.0M3NJ28BCS",="0.0LGABQ0LGA",="0.0L0L0L0L0L",="0.0KEOLQPDCL",="0.0K0K0K0K0K",="0.0JG5BDE4KQ",="0.0J38GDOB5R",="0.0IJSA90IJS",="0.0I85JFM1PO",="0.0HPQFC9P8I",="0.0HF30HF30H",="0.0H4L8PD0H4",="0.0GNMHSC56B",="0.0GE67BAN92",="0.0G50G50G5",="0.0FP4QNF98L",="0.0FGIN2JP6S",="0.0F8CISDKGA",="0.0F0F0F0F0F",="0.0ELPCKOQRS",="0.0EEEEEEEEE",="0.0E7ANH5Q1D",="0.0E0E0E0E0E",="0.0DMNM9SF65",="0.0DGALSFCI7",="0.0DA3JN0DA3",="0.0D427KB9ER"
